"ChildID","SchoolId","Male","Race","SES","FLunch","Age","time0","time1","time2","time3","time7","time11"
"0890014C",890,0,"Black",-0.28,59.97,65,30.57,25.91,40.77,40.96,59.22,69.92
"0890016C",890,0,"Hispanic",-0.85,76.92,61,28.49,52.05,44.97,69.68,149.02,171.79
"0890017C",890,0,"Hispanic",-0.91,28.23,71,33.63,45.7,47.63,55.81,105.92,126.86
"0890018C",890,0,"Hispanic",0.03,4.62,62,38.53,51.8,58.1,88.09,140.67,148.1
"0890020C",890,0,"Black",-0.25,76.92,64,42.43,49.24,59.24,98.47,142.68,160.76
"0890021C",890,0,"Black",-0.02,32.2,68,33.03,39.36,58.95,86.08,108.06,129.32
"0890022C",890,1,"Hispanic",-0.55,76.92,71,32.94,66.36,60.82,90.86,117.19,145.13
"0890023C",890,1,"Hispanic",-0.69,4.62,72,28.63,44.84,48.94,57.49,118.95,143.35
"0890024C",890,0,"Hispanic",-1.1,28.23,54,26.32,43.32,46.65,62.18,99.05,120.31
"0891003C",891,0,"Black",-0.88,22.46,71,43.78,66.59,67.53,77.82,147.57,166.54
"0891004C",891,1,"Black",-0.69,74.17,70,28.35,27.25,37.29,43.42,73.51,91.66
"0891005C",891,1,"Black",-0.35,68.69,72,37.88,48.95,54.22,76.73,147.21,152.31
"0891006C",891,0,"Black",-1.04,59.97,67,33.29,32.25,40.28,44.77,74.15,106.25
"0891008C",891,0,"Black",-1.28,89.02,67,39.24,61.87,68.13,99.73,148.89,168.72
"0891009C",891,1,"Black",0.07,29.93,63,33.43,34.01,43.54,58.31,142.08,135.4
"0891010C",891,0,"Black",-0.49,89.02,67,34.7,43.99,43.24,103.94,129.62,166.07
"0891011C",891,1,"Black",-0.59,69.74,61,33.2,53.91,52.77,57.74,105.62,127.75
"0891012C",891,0,"Black",-0.75,87.7,69,36.73,41.35,46.8,74.25,104.97,125.61
"0891013C",891,0,"Hispanic",-0.73,4.62,70,28.21,42.41,39.72,59.72,105.19,128.21
"0891014C",891,1,"Hispanic",-0.74,28.23,74,34,41.38,51.4,74.14,110.7,136.59
"0891016C",891,1,"Hispanic",-0.73,28.23,67,28.12,22.76,24.78,30.33,73.67,127.59
"0891017C",891,0,"Hispanic",-1.04,70.5,61,34.07,49.4,59.86,76.96,127.09,144.52
"0891018C",891,1,"Hispanic",-0.85,28.23,61,28,33.09,45.55,70.52,98.53,146.54
"0891019C",891,0,"Hispanic",-2.66,60.28,70,41.51,52.19,56.56,72.11,128.14,166.53
"0891024C",891,0,"Hispanic",-0.78,71.88,58,28.87,34.51,40.52,41.55,88.33,106.21
"0891025C",891,0,"Hispanic",-1.04,71.88,61,33.15,42.73,46.81,77.22,118.52,138.95
"0918004C",918,0,"Hispanic",-1.24,60.28,69,27.97,36.73,40.45,57.62,105.5,147.16
"0918013C",918,1,"Hispanic",-0.73,19.52,72,35.25,42.35,45.4,55.53,163.88,175.39
"0918019C",918,1,"Hispanic",-0.67,28.23,68,25.78,35.94,49.47,72.53,113.05,143.35
"0935001C",935,0,"Asian",-0.51,4.62,64,43.7,38.07,56.66,89.41,148.95,179.53
"0935002C",935,1,"Black",-0.68,87.7,65,42.93,51.53,56.91,76.64,116.17,159.99
"0935003C",935,1,"Hispanic",-0.99,70.5,70,32.65,32.24,44.62,57.01,104.4,141.45
"0935004C",935,1,"Black",0.85,28.53,62,37.1,48,54.63,71.99,148.75,147.98
"0935006C",935,1,"Black",-0.09,68.69,67,45.95,47.47,60.11,75.84,147.57,153.59
"0935007C",935,0,"Black",-0.34,68.69,69,43.13,58.99,66.95,108.63,138.72,158.17
"0935010C",935,1,"Black",-0.29,76.92,63,33.12,53.78,60.31,87.27,91.61,133.23
"0935011C",935,1,"Black",-0.08,68.69,64,34.1,54.1,64.92,41.83,160.3,187.71
"0935012C",935,1,"Black",0.11,29.93,68,31.53,31.44,25.96,51.61,65.9,108.61
"0935013C",935,1,"Black",0.16,44.96,66,40.55,44.24,59.87,74.87,130.27,149.14
"0935014C",935,1,"Black",0.91,19.87,63,30.91,42.22,56.03,75.79,131.17,153.31
"0935015C",935,1,"Black",0,9.16,72,32.81,55.03,60.52,90.56,159.46,178.42
"0935017C",935,1,"Hispanic",0.43,17.96,65,30.92,50.93,84.27,143.54,161.92,178.24
"0935018C",935,1,"Black",0.33,76.92,69,27.53,37.46,46.3,55.08,90.69,138.66
"0935019C",935,1,"Black",0.57,28.53,64,32.92,41.16,46.82,71.96,147.21,166.76
"0935022C",935,1,"Black",-0.58,67.84,66,24.56,31.86,33.55,37.92,81.56,97.22
"0935024C",935,0,"Black",-0.69,87.7,62,38.97,45.54,55,88.57,159.61,180.58
"0936002C",936,0,"Hispanic",0.06,28.23,71,53.4,77.36,104.83,114.03,141.83,169.4
"0936003C",936,0,"Asian",0.58,28.23,66,39.84,72.76,105.69,123.84,180.55,193.25
"0936004C",936,0,"Black",0.51,28.23,64,31.07,39.35,46.23,74.71,125.38,167.32
"0936005C",936,1,"Hispanic",-0.76,28.23,61,24.91,25.8,33.1,45.73,70.06,96.15
"0936006C",936,1,"Hispanic",-0.64,28.23,67,31.79,41.86,52.16,65.5,124.18,165.05
"0936008C",936,1,"Hispanic",0.71,28.23,63,33.08,50.82,63.31,108.28,187.8,201.11
"0936013C",936,1,"Black",0.69,28.23,64,25.19,42.38,37.88,53.21,105.73,146.38
"0936014C",936,1,"White",-0.35,28.23,63,26.32,32.18,35.29,59.26,125.56,126.79
"0936015C",936,1,"Hispanic",-0.09,28.23,62,29.86,47.32,52.52,76.29,176.57,181.48
"0936017C",936,1,"White",0.74,28.23,70,35.96,45.02,58.59,91.46,120.86,164.75
"0936019C",936,1,"Hispanic",-0.52,28.23,70,22.98,33.92,36.29,51.27,104.48,147.41
"0936020C",936,0,"Hispanic",-0.26,28.23,67,34.65,48.77,55.11,74.3,103.72,143.93
"0936023C",936,1,"Hispanic",-1.06,28.23,66,25.12,32.54,34.44,49.22,124.47,144.94
"0949021C",949,1,"Hispanic",-0.88,71.88,61,29.19,36.84,39.94,55.97,103.95,115.69
"0950001C",950,0,"Hispanic",-0.53,71.88,72,30.06,41.59,38.52,57.1,80.58,106.09
"0950002C",950,0,"Hispanic",-0.29,70.5,67,32.28,36.41,44.6,58.13,107.15,144.09
"0950003C",950,0,"Hispanic",-0.73,71.88,70,27.15,29.54,39.77,65.53,162.98,167.24
"0950005C",950,0,"Hispanic",-0.65,70.5,72,25.44,32.46,33.66,56.58,121.94,146.5
"0950009C",950,0,"Hispanic",-0.02,69.74,61,23.29,27.35,34.23,51.81,77.03,111.07
"0950011C",950,1,"Hispanic",-1.16,70.5,71,30.81,41.94,36.27,65.06,105.42,125.13
"0950012C",950,1,"Hispanic",-0.1,70.5,72,25.67,37.62,45.17,75.64,124.17,148.71
"0950013C",950,0,"Hispanic",-0.5,70.5,68,24.78,30.09,34.45,46.45,69.84,95.22
"0950016C",950,1,"Hispanic",0.31,89.37,63,77.7,99.18,120.72,127.66,168.72,195.05
"0950018C",950,0,"Hispanic",-0.54,70.5,62,26.14,31.14,38.13,49.6,87.41,121.74
"0950021C",950,1,"Hispanic",0.11,21.41,63,27.81,39.54,44.93,58.91,98.44,133.03
"0950022C",950,0,"Hispanic",-0.26,70.5,63,28.96,45.38,48.72,76.02,126.05,151.97
"0951001C",951,0,"Hispanic",-0.76,71.88,68,25.73,34.57,40.16,60.68,124.84,115.31
"0951002C",951,1,"Hispanic",-0.6,71.88,64,28.4,33.77,40.92,51.66,82.87,105.11
"0951003C",951,1,"Hispanic",-0.47,71.88,64,39.13,45.78,53.03,76.93,126.68,146.27
"0951005C",951,1,"White",-3.61,71.88,67,39.56,43.66,44.37,61.44,115.16,154.95
"0951006C",951,0,"Hispanic",-0.76,71.88,65,26.15,36.62,37.29,65.12,94.78,125.71
"0951011C",951,0,"Hispanic",0.27,71.88,63,36.26,41.48,51.43,72.84,125.14,163.72
"0951012C",951,1,"White",-0.16,71.88,70,41.37,49.48,46.89,57.92,132.82,139.8
"0951013C",951,0,"Hispanic",-0.32,71.88,68,26.9,41.62,47.17,67.92,118.25,127.25
"0951014C",951,1,"Hispanic",0,71.88,67,34.67,36.81,40.83,67.13,105,143.73
