"ChildID","SchoolId","Male","Race","SES","FLunch","Age","time0","time1","time2","time3","time7","time11"
10000010,1700,1,"Hispanic",-1.5,82,68.83,40.9315,45.8772,53.464,62.6348,100.3183,104.6828
10000014,1433,1,"White",-0.07,59,65.77,61.0533,71.0552,78.5028,109.9882,131.0204,137.0652
10000020,1365,0,"Asian",-0.125,32,69.13,53.469,67.007,91.8874,100.8765,139.0935,147.8499
10000029,2042,0,"White",-0.428,21,68.3,58.7342,63.3107,87.439,108.3098,123.0577,137.9527
10000034,2008,1,"Black",-0.614,33,61.93,58.6207,69.6653,83.8604,96.6923,106.5528,128.3441
10000037,2216,1,"Hispanic",-0.847,39,72.53,43.7943,46.3434,51.6494,59.4245,92.5084,90.7992
10000040,1568,0,"Asian",0.6586,23,64.8,46.0958,57.1781,70.2477,90.2972,122.6671,132.3679
10000043,1679,1,"Hispanic",-0.109,82,66.17,45.6749,66.264,71.5364,93.1263,129.2894,125.8364
10000046,2006,1,"White",0.9014,100,70.9,60.1569,71.5364,74.9651,93.9367,122.0976,129.8167
10000047,1438,1,"White",0.5849,29,61.17,51.5844,66.6677,67.5425,81.5954,112.0417,140.2891
10000048,1647,1,"Black",-0.871,69,63.2,40.0783,84.2985,81.8642,108.461,122.4086,127.5402
10000049,2281,1,"White",-1.81,52,67.83,52.3349,62.605,71.5603,80.5366,108.2357,129.7074
10000051,1258,1,"White",-1.3,74,60.3,54.1716,64.7269,76.282,102.3707,128.6737,143.6841
10000052,1365,0,"White",-0.605,32,64.4,41.0795,60.5429,73.2085,87.047,118.3981,124.3076
10000062,1499,1,"Hispanic",-0.587,91,68.73,49.2426,70.16,74.9559,85.1287,111.4336,115.1511
10000068,1599,0,"Hispanic",-1.3,61,68.6,52.9373,66.3505,75.7695,81.1207,105.0828,125.2276
10000075,2006,1,"White",1.196,100,66.1,60.0342,69.6628,88.8151,99.8227,128.8963,142.2656
10000083,1361,1,"Asian",-1.28,100,60.63,42.2771,49.2407,59.7028,60.0222,94.4677,107.6238
10000093,1184,0,"White",1.278,10,71,62.3146,72.0581,74.421,105.8106,130.5401,139.1688
10000095,2045,0,"White",0.6438,3,62.07,54.8889,73.2573,77.7501,107.0961,127.03,136.9246
10000097,2188,0,"White",-0.383,47,68.6,71.3722,95.5593,107.5994,107.1602,130.4698,152.4425
10000098,1547,1,"Hispanic",-0.655,95,71.2,42.6159,58.0308,73.6221,105.2471,115.3878,143.0476
10000106,2018,0,"Hispanic",-0.649,32,69.87,56.8702,62.2096,69.5652,91.4126,109.3297,118.1571
10000107,1584,0,"Asian",-0.397,40,62.63,40.481,62.5699,78.5692,96.5597,111.3521,119.3106
10000113,1438,1,"Asian",1.081,29,63.03,80.1617,96.0132,106.5843,115.7061,146.3254,152.0933
10000121,1708,1,"Hispanic",-0.34,96,69.93,47.7967,65.6169,77.1577,94.5867,119.2057,133.6459
10000134,1567,1,"Hispanic",-0.543,81,70.43,38.1099,43.3339,52.4773,63.479,96.1249,108.2676
10000135,1687,1,"White",0.0884,71,68.33,66.8011,77.2013,75.7248,110.9202,133.1478,149.6539
10000142,1817,0,"White",0.8565,83,74.83,52.3378,60.6334,71.4012,87.7718,133.9049,145.0583
10000150,2215,0,"Hispanic",-0.336,82,63.73,41.209,59.6821,59.0103,94.293,116.7768,119.3106
10000151,2086,1,"Hispanic",-1.01,88,62.47,39.0885,65.6537,71.6777,95.3497,125.5239,135.3977
10000152,2008,1,"Black",1.02,33,60.47,60.8017,70.8171,80.7232,97.747,120.2391,138.588
